foldingPattern
"['0', '+Y', '-Y', '-X', '+Y', '-Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-X', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '+X', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-X', '-Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-X', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '+X', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '+X', '-Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-X', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '+X', '-Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+X', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+X', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+X', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '+X', '-Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-Y', '-X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-Y', '+X']"
"['0', '+Y', '-Y', '-X', '-Y', '-Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-X', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '+X', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+Y', '-Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-X', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '+X', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '-X', '-Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+Y', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '-X', '-Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+Y', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+Y', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+Y', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-X', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-X', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-X', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-X', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+X', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+X', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+X', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '+X', '-Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-Y', '+Y']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-Y', '-X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-Y', '+X']"
"['0', '+Y', '-Y', '+X', '+X', '+X', '-Y', '-Y']"
